Localefase_1800Hz,Spoorfase_1800Hz
0.0225439186747511,0.684340389714289
0.0101358934184557,0.54017404428189
-0.00334822854809592,0.360172311407244
-0.0158254163032067,0.160562545777146
-0.0268365840564022,-0.0511034379306458
-0.0370303883655252,-0.259607569468529
-0.045738224504435,-0.450471998791679
-0.0514584235116566,-0.611386595277965
-0.0519484910950637,-0.733000559654963
-0.0482221553681819,-0.803983735393916
-0.041635597761102,-0.823307928045402
-0.0332720390298852,-0.783147282335935
-0.0229111090761788,-0.686149362640826
-0.0104852946498131,-0.541096818255871
0.00302521582797742,-0.362911518785589
0.015472142635895,-0.159440918382389
0.0264459643154648,0.0510002010503088
0.0366511950046625,0.258151076561739
0.0454253668874405,0.449029715057473
0.0513240477517416,0.611288346501816
0.0518354883570313,0.732091052559418
0.0481758362327773,0.807865848192521
0.0417083563769303,0.825341618387707
0.0333567661466396,0.783340185774431
0.0228398917499941,0.68565717272123
0.0103624151748874,0.541788437138539
-0.00311102457816364,0.361774796157596
-0.0156118898523183,0.162253207618972
-0.026627986886576,-0.0493713199626621
-0.0369256450542413,-0.258128119000271
-0.0456089617269594,-0.449151456790238
-0.0515253959085923,-0.610240391504976
-0.0520184392175815,-0.732010621010388
-0.0483515381964952,-0.80331879640881
-0.0417899635273736,-0.823059749686549
-0.0335376080905575,-0.783517631096548
-0.0231640471101415,-0.68700937773485
-0.0107741795011215,-0.542340451139975
0.0027507527485252,-0.364534928247009
0.0152595894889867,-0.161031285914175
0.0262995606315587,0.0491276271153108
0.0364972137203973,0.256170506662459
0.0452687133278732,0.447038911377457
0.0511634052373522,0.609419630727924
0.0518070445726585,0.730645757686772
0.0481978266048178,0.806682839200597
0.0417384802110206,0.824684507725177
0.0333712319960987,0.783255730337258
0.0228858276744468,0.68625756670737
0.0104398694261029,0.542881512671928
-0.00311431732005208,0.363887764578306
-0.0155900726336186,0.164553630993242
-0.0266250451103342,-0.0467022949578822
-0.0368684969239001,-0.255611884426145
-0.0456372245287046,-0.446606143725383
-0.0515400722515097,-0.608116512442665
-0.0521476981640017,-0.730251746981679
-0.0484644161536146,-0.802008595002322
-0.0419417073433849,-0.822654608837585
-0.0336371947139795,-0.783977071540767
-0.0232910918948431,-0.688431251725296
-0.0108943325652817,-0.544210121754904
0.00262100165115265,-0.367164088408112
0.0151595644335593,-0.163683667872489
0.0261632128514633,0.0463166994163203
0.0364063906121211,0.253290615160916
0.0452069622794891,0.444413302763595
0.0511883844872959,0.607478251245433
0.0518663121937657,0.729296917619646
0.048257413732287,0.80625388507632
0.0418706472762602,0.825044515190033
0.0334813566557684,0.784282953608033
0.022987573481242,0.688105276786561
